zone_phase,zone_index,alive_players,teammates_alive,height_status,position_type,storm_edge_dist,mats_total,surge_above,outcome_placement,outcome_alive_time,best_call
mid,9,2,0,mid,edge,274,124,0,90,592,drop_low
mid,7,4,3,mid,center,298,303,0,31,18,stabilize_box
mid,9,4,3,mid,corner,79,236,0,98,460,stabilize_box
mid,8,3,3,mid,corner,188,249,0,58,80,stabilize_box
mid,10,2,0,low,edge,490,96,0,91,199,drop_low
early,1,2,1,mid,edge,177,28,0,17,116,drop_low
late,14,2,2,low,edge,15,156,0,23,544,look_for_refresh
late,12,3,2,high,center,141,347,1,98,223,take_height
late,12,3,2,low,edge,268,192,0,82,462,drop_low
late,14,3,1,low,center,150,174,0,85,88,drop_low
mid,9,3,1,mid,center,291,275,0,20,432,stabilize_box
late,11,1,0,mid,center,299,235,0,96,328,stabilize_box
early,3,5,4,mid,center,214,376,1,76,103,play_frontside
early,1,4,3,low,edge,190,185,0,4,298,play_frontside
early,2,3,2,mid,center,56,267,1,73,189,play_frontside
mid,10,2,1,low,corner,401,100,0,75,371,drop_low
mid,9,1,0,high,corner,341,299,0,49,250,stick_deadside
mid,9,2,0,high,corner,145,226,1,94,226,drop_low
late,12,1,0,mid,center,412,270,0,26,124,stabilize_box
mid,7,3,2,low,corner,242,293,0,32,305,drop_low
mid,10,4,2,mid,corner,211,93,0,28,398,drop_low
mid,9,4,3,low,center,41,160,0,51,278,look_for_refresh
early,4,2,0,mid,center,286,216,1,40,158,stabilize_box
late,11,3,1,low,edge,201,82,1,37,3,drop_low
early,4,4,2,high,center,416,359,0,51,331,take_height
late,14,3,1,low,edge,100,25,0,57,10,drop_low
late,15,2,2,mid,edge,354,64,1,80,579,drop_low
early,5,2,1,mid,edge,80,109,0,72,562,look_for_refresh
early,3,4,3,mid,center,307,184,1,67,197,play_frontside
late,15,3,2,low,corner,44,208,1,3,442,look_for_refresh
mid,9,4,2,high,edge,395,123,1,74,15,take_height
mid,10,1,0,mid,corner,229,193,0,63,122,stick_deadside
late,15,2,0,mid,corner,208,209,0,12,560,stabilize_box
early,3,5,4,low,center,115,175,0,79,6,play_frontside
mid,10,4,2,mid,corner,497,91,1,91,516,drop_low
early,2,2,2,mid,edge,341,58,0,51,279,drop_low
late,11,3,2,low,center,61,259,0,11,56,look_for_refresh
mid,10,1,1,low,center,26,107,0,6,15,look_for_refresh
mid,10,3,3,high,center,351,318,0,12,388,take_height
early,3,3,2,low,center,18,187,0,82,91,play_frontside
mid,7,4,4,low,corner,189,134,0,25,494,drop_low
mid,7,2,2,mid,center,12,128,1,98,239,look_for_refresh
mid,10,2,0,high,edge,287,72,0,26,521,drop_low
mid,9,1,1,low,center,191,162,0,88,217,drop_low
late,11,3,1,mid,edge,301,134,0,58,185,drop_low
mid,10,3,3,low,corner,176,243,0,80,195,drop_low
early,1,2,1,low,corner,260,169,0,36,39,drop_low
mid,8,3,2,low,corner,283,210,0,36,40,drop_low
late,13,3,2,high,center,90,173,1,21,16,take_height
mid,8,3,2,low,edge,36,74,0,94,81,look_for_refresh
late,13,1,0,low,edge,127,95,1,49,65,drop_low
mid,9,1,1,mid,center,236,168,1,84,115,drop_low
mid,10,3,3,high,center,361,322,1,60,562,take_height
mid,9,3,2,low,edge,204,42,0,62,285,drop_low
early,5,4,2,mid,corner,150,253,0,19,146,play_frontside
early,4,2,0,low,corner,282,89,0,11,416,drop_low
early,2,2,1,mid,edge,326,68,0,78,379,drop_low
mid,7,1,1,mid,center,411,263,1,100,470,stabilize_box
mid,9,4,3,mid,edge,252,133,0,80,267,drop_low
mid,9,1,1,low,corner,26,184,0,3,413,stick_deadside
late,12,1,0,low,edge,193,174,0,57,399,drop_low
early,5,4,4,low,corner,57,146,0,86,291,play_frontside
mid,8,1,0,mid,corner,25,105,0,69,80,stick_deadside
late,15,2,1,low,center,479,395,0,53,372,drop_low
early,4,4,4,high,corner,418,153,0,66,477,take_height
early,4,3,3,high,corner,202,173,0,12,162,take_height
mid,7,1,1,high,corner,292,234,1,62,148,stick_deadside
early,4,2,2,high,corner,23,226,1,45,505,take_height
late,14,2,0,mid,edge,357,108,0,57,205,drop_low
late,15,2,2,mid,center,376,214,0,2,597,stabilize_box
mid,9,2,0,low,corner,237,174,0,55,50,drop_low
late,13,2,2,mid,corner,125,127,1,19,414,drop_low
late,11,2,0,mid,corner,382,57,0,61,121,drop_low
early,2,5,3,mid,center,315,300,0,24,458,play_frontside
late,14,3,3,high,corner,233,240,1,5,199,take_height
mid,7,1,0,low,edge,38,146,0,26,226,look_for_refresh
late,15,1,0,low,corner,474,264,0,92,260,stick_deadside
late,15,3,3,high,corner,37,270,1,35,575,take_height
mid,9,4,3,low,edge,498,49,0,19,278,drop_low
early,3,4,2,mid,edge,414,97,1,31,4,play_frontside
early,5,4,2,high,corner,417,223,0,83,193,take_height
mid,9,1,0,mid,edge,55,125,1,44,304,look_for_refresh
late,13,3,3,mid,center,69,168,0,19,151,look_for_refresh
late,11,3,2,low,edge,364,51,0,84,6,drop_low
early,5,2,0,low,center,157,301,0,81,453,drop_low
mid,8,4,4,high,center,61,161,1,12,215,take_height
mid,8,1,0,mid,edge,159,29,0,35,327,drop_low
early,5,5,4,mid,corner,333,127,0,90,85,play_frontside
early,2,3,3,low,center,153,248,0,58,418,play_frontside
mid,6,3,2,low,center,158,220,0,72,154,drop_low
late,15,2,2,high,corner,181,113,1,25,532,take_height
mid,10,2,2,mid,corner,327,177,1,25,270,drop_low
mid,10,4,3,mid,corner,158,122,1,86,246,drop_low
mid,9,2,2,low,center,113,350,0,13,373,drop_low
mid,9,3,3,mid,center,498,223,0,42,71,stabilize_box
late,14,3,1,high,center,148,221,0,15,202,take_height
late,13,3,1,mid,corner,129,56,1,23,351,drop_low
mid,8,2,0,low,center,453,194,0,28,58,drop_low
mid,9,3,2,mid,edge,46,148,0,13,221,look_for_refresh
mid,9,1,0,high,center,181,191,0,96,159,drop_low
mid,9,3,2,mid,center,133,183,0,75,208,drop_low
early,5,3,2,high,edge,287,49,0,44,238,take_height
mid,9,2,2,mid,edge,221,178,1,78,188,drop_low
mid,6,1,1,high,center,203,308,0,52,394,drop_low
early,5,2,0,mid,edge,436,193,0,35,254,drop_low
mid,9,1,1,low,center,468,243,0,47,349,drop_low
late,14,2,1,low,edge,30,183,0,35,322,look_for_refresh
early,5,2,2,low,corner,426,135,0,50,180,drop_low
early,2,2,0,high,corner,250,229,1,87,363,drop_low
mid,10,3,2,high,corner,154,286,0,40,304,take_height
late,15,3,3,mid,edge,301,124,0,77,382,drop_low
early,2,3,1,low,center,151,149,0,70,126,play_frontside
mid,9,3,3,low,corner,174,264,0,93,374,drop_low
late,11,3,1,high,corner,424,174,1,42,180,take_height
early,2,2,0,mid,edge,397,108,1,15,555,drop_low
mid,8,3,1,low,edge,143,63,0,60,88,drop_low
mid,8,3,2,mid,center,187,181,1,58,526,drop_low
mid,8,2,2,low,center,94,162,0,69,243,look_for_refresh
mid,7,2,2,low,center,214,327,0,33,530,drop_low
mid,10,3,2,mid,center,47,313,1,40,228,stabilize_box
early,3,2,1,low,edge,344,126,0,2,77,drop_low
late,15,2,2,high,corner,398,269,0,33,290,take_height
mid,10,4,3,low,center,175,341,0,25,553,drop_low
early,5,2,1,low,corner,33,89,0,59,119,look_for_refresh
early,3,2,2,low,center,27,331,0,27,587,look_for_refresh
mid,9,4,2,high,center,358,337,1,56,177,take_height
mid,8,3,2,mid,center,169,117,1,25,218,drop_low
early,2,2,2,mid,corner,336,297,0,5,581,stabilize_box
mid,10,2,2,low,center,231,159,0,62,12,drop_low
early,5,4,4,low,corner,111,266,0,43,113,play_frontside
mid,7,1,0,mid,corner,355,181,0,68,320,stick_deadside
early,1,5,3,high,corner,337,203,0,78,26,take_height
mid,10,4,2,high,edge,98,140,1,81,391,take_height
mid,6,4,4,low,center,167,352,0,91,55,drop_low
late,14,2,1,mid,center,97,163,0,36,208,look_for_refresh
early,5,2,1,high,edge,423,39,1,98,591,take_height
mid,7,3,1,mid,center,142,157,0,10,440,drop_low
early,2,2,0,high,center,269,163,1,22,151,drop_low
late,13,2,1,low,center,188,224,0,86,463,drop_low
late,11,1,0,high,center,499,160,1,28,328,drop_low
mid,8,1,1,high,center,402,348,1,48,198,drop_low
mid,10,2,0,high,center,320,237,1,60,504,drop_low
late,14,2,1,mid,edge,298,156,0,84,220,drop_low
mid,10,3,3,mid,edge,124,105,1,63,304,drop_low
mid,9,2,1,high,corner,358,224,0,2,511,take_height
early,3,4,2,low,corner,296,122,0,23,533,play_frontside
early,4,2,0,low,center,373,270,0,51,404,drop_low
late,15,2,2,mid,corner,92,209,0,98,363,stabilize_box
late,15,1,1,high,corner,246,246,1,80,71,stick_deadside
mid,8,3,3,high,edge,447,27,0,28,94,take_height
mid,10,2,2,low,corner,248,116,0,78,475,drop_low
mid,7,3,1,high,edge,454,83,1,1,585,take_height
mid,6,4,3,mid,edge,75,170,1,15,228,look_for_refresh
late,12,3,1,low,edge,157,112,0,15,347,drop_low
late,12,1,0,mid,corner,213,244,1,89,175,stick_deadside
late,14,3,3,low,corner,123,269,0,43,217,drop_low
mid,9,3,3,low,center,350,225,0,5,548,drop_low
early,2,4,3,high,corner,198,131,1,72,397,take_height
early,3,4,3,mid,corner,488,105,0,86,274,play_frontside
late,12,3,1,mid,corner,301,148,0,38,115,drop_low
mid,7,3,2,high,corner,93,63,0,63,203,take_height
early,5,5,5,mid,corner,373,193,0,43,518,play_frontside
early,3,2,2,high,edge,285,134,0,51,125,take_height
mid,7,1,1,mid,corner,438,124,1,78,308,stick_deadside
early,3,2,0,high,corner,109,115,1,83,198,drop_low
early,2,2,1,low,center,311,256,0,26,515,drop_low
mid,9,4,4,high,edge,382,91,0,97,478,take_height
mid,10,4,2,low,corner,283,79,0,46,66,drop_low
mid,7,1,0,low,corner,207,75,1,12,208,stick_deadside
early,4,4,2,high,center,362,397,0,93,278,take_height
mid,8,3,2,mid,edge,467,184,1,12,139,drop_low
early,2,5,4,mid,edge,411,129,0,29,309,play_frontside
mid,9,2,1,mid,center,457,229,0,61,332,stabilize_box
mid,8,1,0,mid,corner,43,172,1,41,168,stick_deadside
mid,10,1,0,low,center,88,296,1,20,547,look_for_refresh
late,14,2,1,low,corner,140,192,0,98,43,drop_low
mid,10,3,3,low,center,81,302,0,46,271,look_for_refresh
mid,7,3,2,mid,edge,252,139,0,30,300,drop_low
early,4,4,2,low,edge,148,153,1,93,42,play_frontside
mid,8,4,2,mid,corner,183,210,0,39,597,stabilize_box
mid,6,3,1,mid,corner,489,103,1,40,516,drop_low
early,2,4,2,low,center,435,307,0,51,327,play_frontside
late,14,2,0,mid,edge,26,107,1,2,285,look_for_refresh
mid,8,1,0,high,edge,56,144,1,90,262,drop_low
late,15,1,0,low,corner,39,174,1,65,255,stick_deadside
mid,9,1,0,mid,corner,436,54,0,28,194,stick_deadside
late,12,2,0,mid,center,401,158,0,51,81,drop_low
mid,8,3,1,mid,corner,49,276,0,8,411,stabilize_box
mid,6,1,0,mid,edge,208,67,0,31,139,drop_low
mid,6,4,2,mid,center,413,206,0,39,501,stabilize_box
early,4,3,3,mid,edge,341,160,0,60,103,play_frontside
mid,6,4,3,low,center,350,379,0,83,544,drop_low
mid,9,2,1,mid,edge,165,65,0,77,370,drop_low
early,1,3,3,mid,corner,293,266,1,16,51,play_frontside
mid,9,1,1,low,edge,68,147,0,23,238,look_for_refresh
early,3,3,1,mid,corner,455,130,0,11,40,play_frontside
late,13,1,0,high,center,345,258,1,88,223,drop_low
late,15,3,2,mid,corner,339,69,0,54,518,drop_low
late,15,3,3,mid,center,447,113,0,74,381,drop_low
mid,9,1,0,high,corner,223,227,1,69,272,stick_deadside
early,3,4,3,mid,corner,272,174,0,12,399,play_frontside
late,13,3,1,mid,edge,333,98,0,36,406,drop_low
mid,8,3,1,high,corner,33,227,1,57,146,take_height
late,15,3,1,high,edge,363,28,1,26,434,take_height
late,12,1,0,mid,edge,306,168,1,92,229,drop_low
late,14,3,2,mid,corner,248,116,0,80,561,drop_low
mid,7,4,2,mid,center,63,337,0,66,454,stabilize_box
mid,9,4,2,high,corner,279,187,1,90,363,take_height
late,14,3,2,mid,corner,181,282,1,4,251,stabilize_box
mid,8,1,0,low,center,314,354,0,93,394,drop_low
early,1,5,5,high,edge,328,20,1,16,295,take_height
mid,10,2,0,mid,corner,218,217,0,22,570,stabilize_box
late,15,1,0,low,center,54,391,0,64,301,look_for_refresh
mid,6,4,2,mid,center,337,278,0,70,28,stabilize_box
mid,8,2,1,mid,edge,371,20,0,92,73,drop_low
early,4,2,1,high,corner,259,73,0,11,313,take_height
mid,8,4,4,low,center,470,119,0,42,80,drop_low
late,13,1,1,high,center,16,157,1,85,29,drop_low
early,5,2,0,mid,center,268,395,0,90,311,stabilize_box
mid,10,2,2,low,edge,97,175,0,39,57,look_for_refresh
late,12,3,2,high,edge,440,152,1,47,410,take_height
mid,8,2,2,mid,corner,481,188,0,22,495,drop_low
mid,8,1,1,low,center,198,145,0,30,133,drop_low
mid,10,2,1,mid,center,464,192,0,30,147,drop_low
mid,7,3,1,high,corner,39,52,0,33,229,take_height
mid,9,3,1,low,center,14,122,0,30,596,look_for_refresh
late,15,2,2,low,center,369,166,0,37,562,drop_low
late,11,2,1,low,center,478,213,0,53,332,drop_low
late,11,2,1,low,edge,378,128,0,30,449,drop_low
late,11,3,3,high,corner,209,169,1,26,444,take_height
mid,9,2,0,mid,edge,16,54,0,6,442,look_for_refresh
mid,8,3,1,low,center,176,240,0,54,411,drop_low
late,11,1,0,low,center,395,357,0,56,213,drop_low
mid,9,2,1,low,edge,180,71,0,4,109,drop_low
mid,8,4,3,high,center,405,395,1,79,502,take_height
late,14,2,1,low,center,37,352,0,36,545,look_for_refresh
late,12,3,1,high,center,117,168,1,63,102,take_height
mid,10,2,2,mid,center,156,288,1,3,481,stabilize_box
mid,7,1,0,low,edge,293,80,0,57,421,drop_low
early,4,4,3,high,edge,108,32,0,80,453,take_height
mid,8,1,1,mid,corner,85,205,0,16,412,stick_deadside
early,4,4,2,mid,corner,101,234,0,40,94,play_frontside
mid,10,4,3,high,center,483,127,1,53,484,take_height
mid,6,4,2,low,corner,239,135,0,91,44,drop_low
mid,6,3,2,low,center,207,155,0,6,316,drop_low
mid,7,2,1,mid,corner,156,214,0,21,58,stabilize_box
early,1,5,5,low,center,73,342,0,77,142,play_frontside
early,5,5,5,low,corner,356,279,0,9,390,play_frontside
late,12,3,3,low,corner,382,195,0,63,446,drop_low
mid,7,3,3,low,center,402,381,0,43,5,drop_low
early,3,3,1,high,center,434,370,1,72,433,take_height
mid,7,4,2,low,edge,59,148,0,28,435,look_for_refresh
late,13,3,1,mid,edge,19,61,0,45,123,look_for_refresh
early,1,5,5,mid,center,467,231,0,58,18,play_frontside
mid,9,4,3,mid,corner,234,122,1,83,485,drop_low
early,4,2,0,low,edge,91,179,0,29,511,look_for_refresh
early,1,3,3,high,edge,191,172,0,95,223,take_height
mid,8,3,3,low,edge,19,59,0,54,244,look_for_refresh
mid,6,1,1,high,corner,400,106,0,57,9,stick_deadside
mid,9,1,0,high,edge,369,134,0,33,346,drop_low
mid,9,1,0,mid,corner,425,82,0,70,122,stick_deadside
late,11,2,0,mid,edge,244,83,1,64,480,drop_low
mid,9,4,4,mid,edge,319,166,0,4,298,drop_low
mid,7,1,1,mid,corner,335,142,1,16,365,stick_deadside
late,13,2,2,high,edge,476,99,1,3,326,take_height
mid,7,2,0,high,corner,456,131,1,89,109,drop_low
mid,9,2,1,low,edge,242,189,0,63,543,drop_low
early,2,4,2,mid,corner,244,93,1,81,122,play_frontside
early,2,4,4,high,edge,43,197,0,22,275,take_height
late,14,2,2,high,corner,52,265,1,82,71,take_height
late,13,1,1,mid,edge,391,67,0,96,175,drop_low
mid,9,4,2,mid,center,142,157,1,18,293,drop_low
mid,9,2,0,low,center,412,278,0,57,475,drop_low
early,2,5,3,high,corner,122,178,0,90,19,take_height
early,3,5,5,low,edge,379,192,0,25,93,play_frontside
mid,9,2,0,mid,corner,63,79,1,28,409,look_for_refresh
mid,8,1,0,low,center,151,260,0,40,53,drop_low
mid,6,4,3,low,corner,403,256,0,23,485,drop_low
mid,7,1,0,mid,edge,58,85,0,8,587,look_for_refresh
mid,8,4,2,high,corner,276,299,0,13,558,take_height
late,12,3,3,low,corner,168,212,0,44,415,drop_low
mid,7,4,4,mid,corner,459,118,0,47,548,drop_low
mid,9,3,3,low,center,147,132,0,10,132,drop_low
mid,9,3,3,low,corner,30,138,0,41,243,look_for_refresh
mid,9,1,1,mid,center,394,146,1,67,91,drop_low
early,4,3,1,mid,edge,263,160,0,74,346,play_frontside
mid,10,1,0,low,edge,311,105,0,49,364,drop_low
late,15,2,0,low,center,232,394,0,64,122,drop_low
early,4,3,3,low,corner,212,172,0,15,359,play_frontside
early,3,2,0,low,center,116,181,0,88,114,drop_low
early,3,2,0,high,corner,83,170,0,61,419,drop_low
early,2,2,0,high,edge,29,129,0,74,523,drop_low
late,13,1,1,low,corner,286,298,1,52,187,stick_deadside
mid,10,4,4,mid,center,430,143,0,85,78,drop_low
mid,7,3,3,high,center,494,184,1,46,582,take_height
early,2,3,1,low,edge,407,65,0,59,487,play_frontside
mid,10,4,2,high,corner,451,250,1,48,5,take_height
mid,6,2,1,high,center,66,136,1,39,303,take_height
early,2,2,1,low,corner,66,257,0,42,90,look_for_refresh
mid,8,4,4,low,edge,78,62,0,51,562,look_for_refresh
mid,6,2,1,high,edge,207,165,1,50,355,take_height
mid,9,3,3,mid,center,161,123,0,92,202,drop_low
mid,6,1,1,low,center,217,290,0,66,95,drop_low
early,3,4,2,low,edge,197,161,0,41,591,play_frontside
mid,9,1,0,mid,center,160,126,1,58,168,drop_low
mid,6,4,4,mid,center,56,180,0,4,430,look_for_refresh
mid,9,4,4,mid,center,431,220,0,49,358,stabilize_box
late,15,1,0,high,center,217,168,1,3,114,drop_low
mid,9,1,0,low,corner,252,277,0,32,532,stick_deadside
early,1,2,1,mid,edge,189,150,0,47,505,drop_low
early,5,4,3,mid,center,150,345,0,62,326,play_frontside
mid,9,1,0,mid,corner,246,165,0,98,297,stick_deadside
early,1,3,2,low,edge,17,180,0,16,368,play_frontside
mid,8,2,1,high,center,111,373,1,68,395,take_height
late,15,3,3,high,corner,169,175,0,18,30,take_height
mid,6,4,2,mid,center,479,278,0,92,387,stabilize_box
mid,9,3,3,mid,edge,154,57,1,6,54,drop_low
mid,8,3,3,low,edge,14,44,0,65,10,look_for_refresh
mid,10,1,0,mid,edge,337,185,0,80,265,drop_low
mid,10,3,1,mid,edge,388,162,0,37,135,drop_low
late,15,2,0,mid,corner,390,142,0,73,573,drop_low
mid,6,2,1,high,center,443,271,1,63,526,take_height
late,13,1,0,mid,edge,103,51,0,81,258,drop_low
late,14,2,1,mid,center,476,142,1,100,406,drop_low
early,5,2,2,high,center,405,103,0,98,444,take_height
early,3,2,0,low,center,226,360,0,59,301,drop_low
early,1,4,2,mid,center,181,157,0,95,26,play_frontside
early,4,4,4,low,edge,470,68,0,34,443,play_frontside
early,1,3,2,mid,center,333,334,0,37,39,play_frontside
mid,6,2,0,high,center,452,364,1,34,246,drop_low
early,1,2,2,mid,edge,147,155,0,45,208,drop_low
mid,9,1,0,high,center,313,187,0,1,201,drop_low
late,13,2,2,mid,corner,165,245,0,53,181,stabilize_box
early,4,3,2,low,center,270,204,0,62,381,play_frontside
late,13,2,2,high,edge,485,29,0,15,174,take_height
mid,6,2,1,low,edge,309,78,0,95,319,drop_low
early,5,2,2,low,edge,168,84,1,51,115,drop_low
mid,8,4,4,mid,edge,281,152,1,14,303,drop_low
mid,8,3,3,low,corner,132,123,0,98,142,drop_low
late,13,2,2,low,edge,288,167,0,59,528,drop_low
mid,10,2,0,mid,edge,358,111,1,52,148,drop_low
late,15,1,0,mid,corner,376,240,0,1,501,stick_deadside
mid,8,2,0,mid,corner,30,223,0,99,387,stabilize_box
early,3,4,2,high,edge,395,177,1,75,29,take_height
late,14,1,1,mid,edge,288,106,0,17,260,drop_low
late,11,3,1,high,edge,217,181,1,56,114,take_height
late,11,3,1,low,edge,404,132,0,5,8,drop_low
mid,10,2,2,mid,center,127,383,0,17,304,stabilize_box
mid,6,4,2,high,center,132,170,1,18,255,take_height
late,11,1,0,mid,center,210,314,0,89,84,stabilize_box
mid,6,2,1,mid,corner,395,146,0,55,16,drop_low
late,11,2,0,mid,edge,347,174,0,99,303,drop_low
late,11,1,0,low,center,406,187,0,47,96,drop_low
mid,7,3,1,mid,center,310,252,1,80,122,stabilize_box
late,11,2,2,mid,center,337,394,0,49,226,stabilize_box
late,13,2,0,high,center,403,276,1,23,29,drop_low
early,1,5,5,low,corner,100,285,0,21,588,play_frontside
late,14,3,1,high,corner,90,98,1,29,324,take_height
mid,10,3,1,high,corner,225,130,0,60,119,take_height
late,12,3,3,low,corner,286,211,0,46,171,drop_low
mid,8,2,2,low,edge,10,176,0,100,34,look_for_refresh
late,11,3,3,high,corner,153,183,0,10,305,take_height
mid,8,1,1,high,corner,259,50,0,84,188,stick_deadside
early,1,2,1,mid,center,180,162,0,53,51,drop_low
late,14,2,1,low,center,490,252,1,7,521,drop_low
early,1,4,4,mid,corner,143,189,1,30,133,play_frontside
mid,7,2,1,mid,edge,85,168,1,93,366,look_for_refresh
late,15,1,0,low,edge,489,48,0,55,192,drop_low
late,13,2,0,mid,corner,121,129,1,65,528,drop_low
mid,8,2,0,low,corner,259,229,0,21,187,drop_low
mid,7,4,3,low,edge,276,109,0,7,184,drop_low
mid,7,1,0,mid,edge,475,145,0,44,193,drop_low
mid,9,1,0,mid,center,459,240,0,68,84,stabilize_box
mid,8,3,3,low,corner,105,133,0,15,394,drop_low
mid,10,4,2,mid,center,442,279,0,98,503,stabilize_box
late,13,3,2,low,center,250,131,0,2,62,drop_low
late,12,3,1,low,corner,285,283,0,3,33,drop_low
late,14,1,0,low,center,286,364,1,48,493,drop_low
early,1,2,1,high,center,301,116,0,68,143,take_height
mid,10,2,1,mid,corner,47,153,0,47,341,look_for_refresh
early,4,5,4,mid,edge,321,110,1,43,362,play_frontside
mid,10,2,1,mid,edge,356,177,0,100,123,drop_low
mid,10,3,1,high,corner,276,146,1,27,498,take_height
late,12,3,2,low,edge,283,157,0,4,115,drop_low
mid,6,2,2,mid,corner,90,232,0,36,357,stabilize_box
early,2,4,3,mid,edge,107,168,0,83,394,play_frontside
early,5,3,2,mid,corner,54,103,0,98,504,play_frontside
late,11,1,0,low,corner,163,95,0,80,592,stick_deadside
mid,10,3,3,mid,center,391,240,0,52,136,stabilize_box
early,3,5,5,low,center,324,260,0,45,365,play_frontside
early,2,4,4,mid,edge,143,27,1,51,264,play_frontside
mid,6,4,3,mid,center,52,321,0,86,141,stabilize_box
early,2,3,1,low,corner,103,83,0,32,88,play_frontside
late,14,3,1,high,center,189,144,0,2,460,take_height
mid,10,1,0,low,center,368,286,0,17,237,drop_low
early,4,3,3,high,corner,265,211,0,23,510,take_height
early,1,4,4,mid,center,455,324,0,44,571,play_frontside
late,13,1,0,low,edge,251,28,0,46,175,drop_low
mid,8,2,1,low,edge,233,40,0,12,572,drop_low
mid,7,2,2,high,edge,26,51,0,54,169,take_height
late,14,2,1,low,corner,342,101,0,13,52,drop_low
late,11,1,0,low,edge,126,190,0,74,228,drop_low
late,14,2,1,low,center,55,154,0,68,248,look_for_refresh
late,11,3,2,mid,center,178,101,0,71,332,drop_low
mid,9,3,2,mid,center,150,341,0,66,438,stabilize_box
early,1,3,2,low,edge,399,103,0,15,36,play_frontside
late,12,3,3,low,edge,223,160,0,100,333,drop_low
mid,10,1,0,low,edge,234,105,0,62,99,drop_low
mid,6,2,2,low,edge,426,60,0,73,69,drop_low
late,15,3,3,mid,edge,397,50,0,24,141,drop_low
early,5,5,5,mid,edge,471,128,1,70,494,play_frontside
mid,6,1,1,low,center,187,344,0,61,267,drop_low
early,2,4,2,mid,corner,57,145,1,71,8,play_frontside
mid,10,2,0,mid,center,108,399,1,80,415,stabilize_box
early,1,5,5,high,corner,292,66,1,81,574,take_height
early,1,2,1,high,center,271,172,1,94,140,take_height
early,2,4,3,high,center,67,308,0,72,401,take_height
mid,6,1,0,low,center,262,340,0,3,411,drop_low
mid,7,3,2,low,edge,200,34,0,89,110,drop_low
mid,9,2,1,low,edge,10,83,0,29,172,look_for_refresh
late,12,2,0,low,corner,244,238,0,21,570,drop_low
mid,9,1,0,mid,center,293,313,0,54,414,stabilize_box
mid,8,1,0,high,center,294,137,1,6,8,drop_low
late,15,3,2,high,center,361,160,0,87,363,take_height
early,1,4,3,high,edge,165,160,1,11,376,take_height
late,14,1,1,mid,center,100,332,1,70,576,stabilize_box
early,4,5,5,mid,center,467,376,1,27,327,play_frontside
late,13,1,1,low,edge,219,143,0,91,278,drop_low
early,1,2,0,low,edge,333,134,0,77,191,drop_low
late,12,3,1,mid,corner,239,264,1,60,504,stabilize_box
mid,8,2,2,low,edge,262,72,0,73,79,drop_low
late,12,1,1,mid,center,252,145,0,72,549,drop_low
