zone_phase,zone_index,alive_players,teammates_alive,height_status,position_type,storm_edge_dist,mats_total,surge_above,outcome_placement,outcome_alive_time,best_call
late,13,1,0,high,center,91,279,1,88,510,drop_low
late,13,1,0,high,corner,23,119,0,14,91,stick_deadside
mid,10,1,1,mid,corner,65,232,0,37,166,stick_deadside
mid,6,3,3,mid,corner,412,190,1,27,438,drop_low
mid,10,1,0,low,edge,351,89,0,24,51,drop_low
mid,10,1,0,mid,edge,291,115,0,64,266,drop_low
early,2,5,3,high,center,208,281,1,70,521,take_height
mid,9,4,4,mid,corner,357,210,1,26,87,stabilize_box
mid,9,1,1,mid,center,175,180,0,54,52,drop_low
early,4,3,1,mid,edge,462,140,0,15,179,play_frontside
mid,9,2,0,high,edge,301,76,0,29,278,drop_low
late,11,2,2,low,corner,155,189,0,100,239,drop_low
early,3,3,2,low,corner,450,92,0,74,585,play_frontside
early,1,2,1,mid,edge,87,118,1,28,339,look_for_refresh
mid,10,4,2,high,center,121,391,0,59,72,take_height
late,15,3,3,low,corner,32,117,0,73,374,look_for_refresh
early,4,3,1,low,corner,384,78,0,21,580,play_frontside
mid,10,4,3,low,center,125,103,0,10,517,drop_low
late,13,2,1,low,edge,151,82,0,4,238,drop_low
early,5,3,1,mid,edge,489,30,1,62,466,play_frontside
mid,7,1,0,mid,center,206,191,0,4,121,drop_low
mid,10,1,1,mid,center,287,249,0,6,413,stabilize_box
mid,10,1,0,mid,corner,37,237,1,90,570,stick_deadside
mid,10,4,2,mid,center,308,158,0,80,43,drop_low
mid,8,1,0,high,center,85,284,0,72,504,drop_low
early,2,2,1,mid,center,27,143,1,92,197,look_for_refresh
late,12,2,2,high,center,109,279,0,16,72,take_height
mid,8,4,2,mid,corner,488,223,1,38,91,stabilize_box
early,4,3,1,low,corner,470,234,0,49,549,play_frontside
early,2,4,3,mid,corner,477,103,0,61,491,play_frontside
mid,7,3,3,low,corner,133,269,0,65,383,drop_low
mid,8,2,0,mid,corner,374,95,0,83,466,drop_low
early,3,4,3,low,edge,301,124,0,50,154,play_frontside
mid,8,4,2,low,center,134,176,0,17,170,drop_low
early,4,4,3,high,center,16,395,0,28,272,take_height
mid,9,2,2,low,edge,32,64,1,44,110,look_for_refresh
early,3,3,2,high,edge,171,190,1,12,151,take_height
mid,8,1,0,low,center,126,165,0,70,431,drop_low
mid,6,1,0,mid,edge,379,169,0,71,451,drop_low
late,15,3,2,mid,corner,361,110,1,72,23,drop_low
early,2,5,5,mid,corner,30,215,0,3,367,play_frontside
mid,10,3,3,low,center,261,365,0,49,239,drop_low
early,2,5,3,low,center,335,142,0,21,434,play_frontside
late,13,3,1,low,center,473,327,0,8,127,drop_low
late,14,1,0,low,corner,492,281,1,64,541,stick_deadside
mid,8,4,3,mid,corner,440,86,0,92,198,drop_low
mid,9,4,3,high,center,318,270,1,59,482,take_height
late,11,1,1,high,corner,93,276,0,30,179,stick_deadside
mid,10,3,3,high,center,371,349,0,32,523,take_height
mid,7,1,0,high,center,50,337,0,75,437,drop_low
early,5,2,0,mid,edge,212,25,0,20,314,drop_low
early,4,4,2,low,edge,425,47,0,16,19,play_frontside
late,13,1,0,high,edge,137,32,1,25,160,drop_low
late,14,2,2,mid,center,151,229,0,60,122,stabilize_box
mid,6,1,0,mid,edge,353,32,0,45,72,drop_low
mid,9,1,0,low,center,112,250,0,9,55,drop_low
mid,9,3,1,mid,corner,116,205,0,51,460,stabilize_box
mid,10,4,2,mid,corner,488,127,1,61,169,drop_low
late,13,2,0,high,corner,26,173,1,40,582,drop_low
late,12,1,0,mid,center,34,334,1,61,149,stabilize_box
late,11,1,1,mid,center,73,116,0,67,26,look_for_refresh
mid,9,2,0,high,edge,466,128,1,80,248,drop_low
early,2,4,4,low,corner,351,90,0,76,227,play_frontside
early,5,5,4,mid,corner,384,247,1,15,484,play_frontside
late,12,2,2,low,edge,246,160,0,53,10,drop_low
mid,9,3,2,mid,corner,185,278,1,4,95,stabilize_box
early,4,3,3,high,center,300,371,1,23,121,take_height
early,1,4,4,low,center,302,131,1,27,126,play_frontside
mid,6,3,1,high,center,320,122,1,37,549,take_height
early,3,3,3,low,corner,410,103,0,77,69,play_frontside
early,3,5,5,high,corner,165,264,1,43,297,take_height
mid,6,2,0,high,corner,394,213,0,37,501,drop_low
mid,10,2,1,high,center,62,243,0,85,45,take_height
mid,7,1,0,low,center,82,203,0,29,382,look_for_refresh
early,2,3,1,high,corner,192,147,0,29,27,take_height
mid,9,3,1,mid,center,378,163,0,49,497,drop_low
early,3,3,2,low,edge,198,189,0,75,136,play_frontside
mid,8,1,1,high,corner,22,194,0,51,49,stick_deadside
mid,9,2,2,low,center,56,373,0,50,507,look_for_refresh
mid,10,4,2,high,center,457,224,1,28,121,take_height
late,12,2,0,low,corner,169,93,0,74,217,drop_low
mid,6,2,2,mid,corner,293,179,1,5,526,drop_low
mid,7,1,1,mid,center,62,291,0,56,574,stabilize_box
early,4,2,2,low,edge,296,130,0,64,43,drop_low
mid,6,3,2,low,edge,17,109,0,89,96,look_for_refresh
mid,10,1,0,low,center,81,383,0,97,27,look_for_refresh
early,2,4,2,mid,edge,389,158,1,17,242,play_frontside
late,12,2,1,low,center,107,107,0,97,487,drop_low
mid,10,3,1,mid,center,96,251,0,89,240,stabilize_box
late,13,3,3,low,center,339,194,0,97,304,drop_low
mid,7,3,3,low,corner,110,129,0,55,67,drop_low
late,13,1,0,mid,edge,290,141,1,9,281,drop_low
mid,7,2,2,low,center,380,164,1,91,192,drop_low
mid,8,3,1,high,center,298,369,0,89,119,take_height
mid,10,1,0,high,edge,246,119,1,68,152,drop_low
early,2,4,2,mid,corner,205,179,0,73,392,play_frontside
mid,10,4,3,mid,corner,400,289,0,79,231,stabilize_box
mid,10,4,2,high,corner,106,76,0,16,351,take_height
early,3,5,3,low,edge,459,138,0,16,571,play_frontside
mid,7,3,1,low,edge,377,78,0,13,529,drop_low
early,2,5,4,low,corner,439,271,0,78,171,play_frontside
late,14,1,1,high,center,105,153,0,86,132,drop_low
late,13,1,0,low,center,270,325,0,85,357,drop_low
late,15,1,0,mid,edge,130,168,0,73,42,drop_low
mid,8,1,0,high,center,375,147,1,63,305,drop_low
early,4,2,2,high,center,282,238,0,41,6,take_height
late,15,2,2,mid,edge,341,35,1,53,329,drop_low
mid,10,2,0,low,corner,61,225,0,68,170,look_for_refresh
late,15,2,2,high,corner,405,163,1,74,338,take_height
late,11,3,2,mid,center,327,295,0,99,69,stabilize_box
late,13,3,2,low,edge,172,131,0,9,539,drop_low
mid,10,2,2,low,center,199,174,0,51,507,drop_low
mid,9,2,0,high,corner,286,227,1,48,486,drop_low
late,11,2,0,mid,corner,94,144,0,80,443,look_for_refresh
mid,9,4,3,high,center,203,341,0,49,51,take_height
early,4,3,3,high,corner,190,266,1,18,149,take_height
mid,8,3,2,mid,center,30,162,0,10,587,look_for_refresh
late,13,3,2,mid,edge,408,22,0,85,92,drop_low
mid,9,1,0,mid,center,212,287,0,54,368,stabilize_box
mid,6,1,0,low,center,211,322,0,79,580,drop_low
early,2,4,4,mid,center,475,192,0,15,76,play_frontside
mid,9,4,4,high,corner,160,106,0,11,86,take_height
late,12,3,1,mid,edge,393,43,1,40,227,drop_low
early,4,4,3,high,center,168,124,0,47,363,take_height
mid,6,1,0,mid,center,319,197,0,20,568,drop_low
late,15,3,1,mid,center,448,367,1,98,592,stabilize_box
mid,6,3,3,mid,center,35,249,0,22,24,stabilize_box
mid,7,1,0,mid,center,318,351,1,48,28,stabilize_box
mid,10,2,2,mid,corner,75,98,0,82,121,look_for_refresh
mid,9,4,4,low,edge,432,167,0,16,490,drop_low
mid,10,4,4,mid,edge,272,142,0,5,345,drop_low
late,14,1,0,low,center,481,320,1,65,31,drop_low
late,11,2,1,mid,edge,176,149,1,83,227,drop_low
late,11,3,1,mid,corner,297,248,1,74,250,stabilize_box
late,12,2,0,mid,center,163,345,0,21,50,stabilize_box
mid,9,1,0,high,center,352,154,1,61,389,drop_low
mid,8,3,1,mid,center,215,232,1,77,288,stabilize_box
late,15,1,0,mid,center,422,151,0,55,591,drop_low
mid,7,2,1,mid,corner,162,235,1,24,475,stabilize_box
mid,6,3,3,mid,corner,193,141,0,23,6,drop_low
late,15,3,3,low,center,168,397,0,87,412,drop_low
late,15,2,1,low,corner,203,187,0,11,324,drop_low
mid,9,3,3,mid,edge,11,49,0,47,399,look_for_refresh
mid,7,4,3,mid,corner,224,276,1,2,282,stabilize_box
early,5,2,2,low,corner,184,294,0,70,191,drop_low
mid,6,1,0,low,center,84,146,1,53,585,look_for_refresh
early,4,2,0,low,center,294,345,0,11,500,drop_low
mid,8,4,3,high,edge,136,57,0,15,580,take_height
mid,9,1,0,low,center,499,302,0,73,434,drop_low
mid,7,4,4,mid,corner,492,62,0,12,63,drop_low
mid,6,3,3,low,edge,58,59,0,36,453,look_for_refresh
early,4,5,4,mid,center,466,112,1,92,493,play_frontside
early,3,3,1,low,corner,41,158,0,23,442,play_frontside
late,12,3,1,low,center,167,272,0,27,307,drop_low
mid,7,1,0,mid,edge,24,147,1,88,126,look_for_refresh
early,2,4,2,low,center,327,297,0,14,265,play_frontside
mid,7,3,2,low,corner,343,105,0,54,7,drop_low
late,13,1,1,low,corner,252,94,0,99,413,stick_deadside
early,2,3,1,low,corner,26,109,0,27,206,play_frontside
mid,8,4,2,low,center,31,178,0,21,179,look_for_refresh
early,3,4,4,low,center,253,378,0,49,468,play_frontside
early,2,3,3,high,corner,423,103,0,62,496,take_height
mid,8,1,0,mid,edge,90,79,1,77,443,look_for_refresh
mid,10,4,2,mid,edge,153,117,0,72,228,drop_low
mid,9,4,3,low,center,445,243,0,44,146,drop_low
mid,6,3,2,high,edge,17,138,0,44,570,take_height
late,12,3,1,mid,corner,457,63,0,98,296,drop_low
mid,6,4,3,low,center,176,210,0,61,241,drop_low
mid,9,4,4,mid,center,296,331,0,42,287,stabilize_box
late,14,3,2,low,edge,277,122,0,23,26,drop_low
mid,9,1,0,low,edge,298,99,0,73,452,drop_low
mid,10,2,0,mid,corner,195,151,0,1,106,drop_low
early,4,3,2,high,edge,21,76,1,36,240,take_height
early,3,4,2,mid,corner,290,91,1,55,418,play_frontside
late,14,2,0,mid,edge,431,148,0,16,332,drop_low
late,11,3,1,high,edge,313,143,1,89,42,take_height
mid,6,3,3,low,corner,475,296,0,18,556,drop_low
mid,8,3,2,low,edge,92,105,0,98,35,look_for_refresh
early,1,2,1,mid,corner,64,77,0,38,347,look_for_refresh
early,2,5,4,mid,center,140,216,0,67,384,play_frontside
mid,8,3,1,mid,center,134,118,0,20,513,drop_low
mid,8,3,3,high,center,492,158,0,19,288,take_height
mid,7,1,0,mid,edge,334,195,0,13,33,drop_low
mid,10,4,3,mid,center,428,206,1,17,95,stabilize_box
mid,8,2,0,low,center,60,383,0,78,205,look_for_refresh
late,11,2,0,high,edge,36,162,1,30,30,drop_low
mid,10,1,0,high,edge,174,182,1,86,266,drop_low
mid,9,1,0,high,corner,478,96,0,43,23,stick_deadside
mid,6,4,2,low,edge,409,64,0,48,39,drop_low
mid,7,1,1,mid,corner,485,88,0,43,173,stick_deadside
early,4,3,1,low,edge,290,32,0,93,413,play_frontside
mid,9,1,1,low,corner,42,259,0,66,414,stick_deadside
late,11,3,2,low,corner,71,55,0,53,209,look_for_refresh
early,2,3,3,mid,center,154,220,1,72,22,play_frontside
early,1,3,1,mid,center,180,206,0,78,5,play_frontside
early,2,2,1,low,center,295,230,0,34,214,drop_low
early,5,2,0,mid,corner,306,74,0,77,139,drop_low
late,11,3,1,mid,center,126,244,0,74,595,stabilize_box
mid,6,3,3,mid,edge,13,40,0,72,317,look_for_refresh
mid,8,4,2,low,center,75,206,0,71,576,look_for_refresh
early,4,3,3,mid,corner,69,242,1,13,156,play_frontside
mid,7,1,0,high,center,402,351,1,90,424,drop_low
mid,7,1,0,low,corner,296,88,0,56,500,stick_deadside
early,1,5,3,low,edge,354,69,0,59,91,play_frontside
mid,9,3,3,mid,edge,238,39,0,32,42,drop_low
mid,6,2,0,high,center,109,236,0,83,295,drop_low
mid,9,3,1,mid,center,128,262,1,79,337,stabilize_box
mid,9,1,0,mid,edge,78,112,0,54,1,look_for_refresh
early,1,3,1,mid,center,161,175,0,2,109,play_frontside
mid,7,3,3,mid,edge,289,72,0,37,125,drop_low
mid,7,4,2,low,center,230,199,0,83,64,drop_low
mid,9,4,3,mid,edge,438,104,0,97,206,drop_low
late,11,1,1,high,center,232,173,0,33,415,drop_low
mid,7,1,0,mid,center,174,291,0,1,244,stabilize_box
early,1,4,4,high,edge,451,23,1,28,590,take_height
early,2,4,2,mid,center,220,256,0,17,216,play_frontside
mid,8,3,2,low,center,288,365,0,57,528,drop_low
early,1,2,1,high,corner,428,222,1,70,566,take_height
mid,7,2,1,low,center,72,138,0,52,380,look_for_refresh
late,11,3,3,mid,center,383,154,1,44,79,drop_low
mid,7,2,1,low,corner,379,71,0,84,415,drop_low
mid,9,4,2,low,corner,271,249,0,47,453,drop_low
mid,9,3,1,mid,center,15,308,0,13,149,stabilize_box
mid,6,4,2,low,edge,257,23,1,76,38,drop_low
mid,9,2,2,mid,center,238,164,1,30,157,drop_low
late,14,2,2,mid,corner,295,225,1,85,333,stabilize_box
mid,8,4,3,low,center,266,145,0,66,288,drop_low
late,15,3,3,low,corner,72,133,0,53,112,look_for_refresh
late,15,1,0,mid,center,401,339,1,18,91,stabilize_box
early,3,4,2,low,corner,37,79,1,28,49,play_frontside
early,1,4,2,mid,corner,354,129,0,4,161,play_frontside
early,5,3,3,mid,corner,426,115,0,42,516,play_frontside
early,3,4,2,high,center,62,286,1,6,402,take_height
early,4,4,3,mid,corner,261,59,0,9,320,play_frontside
mid,7,4,4,mid,center,47,157,0,20,364,look_for_refresh
early,4,5,3,mid,center,317,169,0,94,442,play_frontside
mid,6,3,1,low,center,343,192,0,38,475,drop_low
late,13,3,3,low,center,148,328,1,68,312,drop_low
early,4,4,4,high,edge,395,175,1,50,532,take_height
late,14,1,0,mid,corner,62,172,1,60,589,stick_deadside
mid,9,2,2,high,center,103,116,1,13,220,take_height
early,1,4,2,high,corner,103,103,1,99,497,take_height
mid,8,4,3,high,corner,461,239,1,94,343,take_height
mid,9,1,0,high,center,470,271,1,42,94,drop_low
late,13,2,0,mid,center,272,243,0,68,133,stabilize_box
mid,6,3,1,low,edge,495,192,0,25,501,drop_low
late,14,3,3,mid,center,332,111,0,31,172,drop_low
mid,10,2,2,mid,edge,146,171,0,12,9,drop_low
early,5,3,1,mid,corner,471,88,0,64,321,play_frontside
late,12,2,2,mid,corner,381,252,0,79,98,stabilize_box
late,11,2,0,mid,corner,456,185,0,61,169,drop_low
late,11,3,3,mid,corner,265,202,0,53,311,stabilize_box
mid,8,1,1,low,center,404,365,0,26,343,drop_low
mid,8,3,3,mid,center,46,151,0,61,430,look_for_refresh
late,14,2,1,low,corner,151,59,0,10,556,drop_low
mid,9,2,2,high,edge,156,32,1,12,500,take_height
late,15,2,1,low,edge,17,151,0,22,285,look_for_refresh
late,12,2,1,low,corner,260,289,0,53,260,drop_low
mid,10,2,1,low,corner,144,257,0,21,495,drop_low
late,14,2,0,mid,corner,68,132,0,35,355,look_for_refresh
late,12,1,1,mid,corner,132,236,0,71,214,stick_deadside
early,3,3,1,low,corner,456,208,1,82,200,play_frontside
late,14,2,1,low,center,272,383,0,27,236,drop_low
mid,8,3,3,mid,corner,129,183,0,60,136,drop_low
late,15,2,0,low,center,448,236,1,99,422,drop_low
mid,6,4,3,mid,edge,268,114,0,47,341,drop_low
late,14,2,0,mid,center,332,294,0,66,342,stabilize_box
mid,6,3,1,mid,edge,27,86,1,96,530,look_for_refresh
early,1,5,5,low,corner,310,62,0,15,388,play_frontside
late,14,3,3,high,center,362,127,1,24,4,take_height
early,4,2,0,mid,center,494,113,0,84,399,drop_low
mid,8,2,2,mid,corner,101,233,0,10,422,stabilize_box
late,15,1,1,low,corner,173,297,0,88,411,stick_deadside
late,11,3,1,mid,center,153,308,0,24,213,stabilize_box
mid,6,3,3,low,center,344,257,0,88,560,drop_low
mid,9,2,2,mid,center,422,326,1,57,558,stabilize_box
mid,9,4,3,high,center,324,340,1,34,558,take_height
mid,8,3,3,mid,center,411,157,1,41,48,drop_low
mid,6,1,0,low,corner,442,130,0,40,187,stick_deadside
mid,9,1,0,low,corner,247,244,0,11,502,stick_deadside
late,13,1,0,mid,corner,183,83,0,90,531,stick_deadside
late,13,3,1,low,corner,92,125,0,1,475,look_for_refresh
late,11,1,1,low,edge,166,36,0,30,42,drop_low
early,5,3,3,high,center,463,202,1,43,261,take_height
mid,10,2,1,mid,edge,118,81,0,82,48,drop_low
early,1,2,0,low,corner,187,60,0,26,586,drop_low
mid,9,2,2,high,center,259,257,1,53,446,take_height
mid,9,4,3,low,corner,262,76,0,47,221,drop_low
late,15,1,0,high,corner,64,97,1,9,343,stick_deadside
mid,10,3,2,low,corner,164,73,0,9,238,drop_low
early,3,4,4,high,edge,400,47,1,1,155,take_height
early,2,4,2,mid,center,100,155,1,71,56,play_frontside
late,14,3,3,high,center,348,157,1,44,387,take_height
mid,10,3,3,high,center,135,254,0,59,315,take_height
early,1,2,0,low,edge,346,137,0,56,38,drop_low
early,2,4,3,high,corner,178,282,1,51,341,take_height
mid,7,4,4,mid,corner,148,70,0,16,231,drop_low
early,5,2,1,mid,corner,14,236,0,38,452,stabilize_box
late,14,1,0,low,edge,75,52,0,11,342,look_for_refresh
mid,6,3,1,mid,edge,120,44,0,25,453,drop_low
early,4,5,3,low,corner,193,169,0,93,257,play_frontside
early,1,3,1,mid,edge,277,194,0,83,434,play_frontside
late,13,1,0,mid,edge,179,125,0,82,209,drop_low
mid,10,4,3,high,corner,371,225,1,59,201,take_height
mid,9,3,3,high,center,253,196,0,29,137,take_height
late,12,2,1,mid,center,340,146,1,80,565,drop_low
late,15,1,0,low,edge,147,180,0,40,394,drop_low
late,15,2,0,low,corner,37,201,0,8,596,look_for_refresh
late,11,1,0,low,edge,16,114,0,98,36,look_for_refresh
mid,9,4,2,low,corner,407,55,0,6,215,drop_low
early,4,5,4,low,edge,342,54,0,45,27,play_frontside
late,12,2,0,low,center,462,211,1,53,18,drop_low
mid,8,3,3,high,center,326,186,1,94,137,take_height
mid,7,2,1,mid,edge,60,95,0,98,579,look_for_refresh
late,15,3,1,low,edge,435,198,0,21,30,drop_low
early,3,5,5,mid,edge,145,161,1,57,73,play_frontside
mid,7,3,1,low,corner,187,246,0,76,123,drop_low
early,5,4,3,mid,center,138,175,1,6,228,play_frontside
mid,10,3,2,mid,corner,206,122,0,63,338,drop_low
early,5,5,5,mid,center,276,130,0,6,273,play_frontside
early,5,2,1,mid,center,116,121,0,53,437,drop_low
early,2,3,3,high,center,57,116,0,4,39,take_height
mid,9,2,0,high,center,147,311,1,9,426,drop_low
mid,10,4,3,mid,edge,408,153,0,69,315,drop_low
mid,10,3,1,mid,corner,112,169,0,74,509,drop_low
late,12,3,1,mid,center,56,186,0,72,157,look_for_refresh
mid,7,1,0,low,center,486,137,0,87,257,drop_low
mid,8,4,2,mid,corner,162,165,0,4,456,drop_low
late,13,2,2,low,corner,377,110,0,58,47,drop_low
early,3,4,4,mid,edge,15,58,1,37,332,play_frontside
late,11,3,3,mid,edge,20,150,0,71,10,look_for_refresh
early,5,5,4,low,edge,26,29,0,6,144,play_frontside
late,12,2,0,high,edge,152,22,0,51,431,drop_low
early,2,3,1,high,corner,281,251,0,79,152,take_height
late,14,2,0,mid,center,321,276,0,99,487,stabilize_box
mid,7,2,0,mid,center,75,326,0,50,136,stabilize_box
late,12,2,2,high,center,429,226,1,96,587,take_height
